Cell_ID,PRED_Intensity_MC_Ch07,SCALED_Intensity_MC_Ch07,PRED_Intensity_MC_Ch10,SCALED_Intensity_MC_Ch10,PRED_Intensity_MC_Ch11,SCALED_Intensity_MC_Ch11,Unnamed: 0,Touches_boundary,Gradient RMS_M01_Ch01,Intensity_MC_Ch07,Intensity_MC_Ch10,Intensity_MC_Ch11,DNA_pos,POSX,POSY,X_length,Y_length
8695.0,-0.1278589516878128,-0.1601002812385559,0.10109414905309677,0.595715343952179,0.023766160011291504,1.541438341140747,54342,0,53.75789194,486149.0539,4211.892241,16783.25,True,543,42,75,58
52372.0,-0.0905192568898201,-0.3013251721858978,0.12332286685705185,-0.12556301057338715,0.07237750291824341,-0.4558165669441223,47079,0,59.45440498,467334.8545,2859.328358,2636.054104,True,470,79,69,67
54976.0,0.1305757462978363,-0.2852022051811218,0.06626174598932266,-0.15942789614200592,-0.08543653041124344,-0.10975181311368942,49971,0,51.20475478,469445.4222,2807.8,3632.888889,True,499,71,53,45
8645.0,-0.20415550470352173,-0.5384340882301331,-0.11064816266298294,-1.2107272148132324,-0.6448042392730713,-1.8292324542999268,54287,0,62.03772604,437369.9157,1596.549419,446.869186,True,542,87,68,43
52518.0,-0.22810392081737518,-0.6370503902435303,-0.23161891102790833,-0.23121631145477295,-0.18065916001796722,-0.23577697575092316,47241,0,53.84039476,425480.1324,2701.617647,3232.397059,True,472,41,61,51
54995.0,0.520073652267456,0.3945377767086029,0.11159621924161911,-0.056515537202358246,-0.2294389009475708,-0.37819913029670715,49992,0,54.46676549,567660.9706,2967.338235,2832.676471,True,499,92,53,51
51070.0,-0.29106900095939636,-0.4967823028564453,-0.03149937838315964,-0.829521119594574,-0.3950025141239166,-0.845034658908844,45633,0,55.85875414,442490.9828,1959.241379,1837.741379,True,456,33,61,58
9059.0,-0.03888779133558273,-0.12678830325603485,-0.11760858446359634,-0.17282401025295258,-0.29309940338134766,1.3775094747543335,54747,0,51.67632419,490696.2174,2787.673913,14417.6087,True,547,47,61,46
7653.0,0.6950191259384155,1.2594811916351318,1.4115973711013794,2.520951747894287,2.684048652648926,3.201072931289673,53185,0,55.93193335,722889.9018,11843.10714,78143.28571,True,531,85,101,56
6518.0,0.1697700172662735,-0.015236485749483109,0.04030350595712662,0.23628033697605133,-0.3211839199066162,-0.4649076461791992,51924,0,51.8791989,506235.2616,3472.575581,2613.936047,True,519,24,53,43
5192.0,-0.09684623777866364,-0.09629187732934952,0.004263317212462425,-0.3828929662704468,0.024416089057922363,0.18753783404827118,46587,0,53.58283741,494896.3333,2490.291667,4785.375,True,465,87,60,51
52571.0,-0.10655981302261353,0.19347970187664032,-0.04223378002643585,0.7887809872627258,-0.16031785309314728,-0.02575838565826416,47300,0,62.57343348,536643.0,4672.0,3927.0,True,473,0,67,50
5812.0,-0.04702998697757721,-0.29276788234710693,0.0450330451130867,0.03433076664805412,0.40149664878845215,-0.2810153067111969,51140,0,51.84407499,468453.8571,3115.6875,3099.669643,True,511,40,77,70
53564.0,-0.085026316344738,-0.16736559569835663,-0.18945008516311646,0.21489951014518738,-0.5553075671195984,-0.47641721367836,48403,0,56.99738109,485162.9333,3432.933333,2586.2,True,484,3,63,45
5873.0,2.600419282913208,2.8219242095947266,1.3857719898223877,1.178852915763855,0.5110820531845093,0.06937052309513092,51207,0,53.48582988,1118702.958,5760.666667,4288.958333,True,512,7,68,51
55590.0,0.4439394772052765,-0.3219442367553711,1.1197539567947388,0.7308382987976074,1.5316182374954224,1.0227055549621582,50654,0,54.4825485,464649.5471,4528.869565,10377.22464,True,506,54,137,69
51115.0,0.09590655565261841,-0.6453518867492676,-0.026341451331973076,-0.6260010600090027,-0.1271970123052597,-0.769375205039978,45683,0,51.82146899,424494.1224,2185.510417,1971.239583,True,456,83,53,48
5473.0,1.9629857540130615,2.5985825061798096,1.0359880924224854,0.39434462785720825,0.39941442012786865,-0.47521618008613586,49709,0,51.39196551,1051009.231,3780.199153,2589.080508,True,497,9,77,59
52539.0,0.07277094572782516,-0.15849409997463226,-0.029395243152976036,0.2323925495147705,-0.3876306712627411,-0.39690065383911133,47264,0,51.53141292,486367.3333,3465.333333,2784.0,True,472,64,52,42
52258.0,0.11314594745635986,-0.031087122857570648,-0.02560671977698803,-0.913953959941864,-0.2928506135940552,-0.9671022891998291,46952,0,51.20119339,503997.6484,1872.390625,1641.151042,True,469,52,59,48
52092.0,1.276450753211975,2.5204429626464844,2.0691511631011963,2.8259999752044678,1.8734614849090576,1.9949887990951538,46768,0,50.45152153,1028305.818,13951.0239,25552.53125,True,467,68,104,68
50712.0,-0.11276957392692566,-0.19849446415901184,0.2801238000392914,0.3090493679046631,-0.03302757441997528,-0.3900427520275116,45235,0,56.78121515,480960.4049,3610.958955,2801.751866,True,452,35,84,67
7086.0,-0.005531545728445053,0.1423092484474182,0.015576111152768135,-0.4196317493915558,-0.2973748743534088,-0.25323137640953064,52555,0,60.11365781,529023.0785,2441.642442,3180.526163,True,525,55,61,43
52524.0,0.018741555511951447,0.2579115927219391,-0.08065672218799591,0.3870098888874054,-0.19028419256210327,-0.44644373655319214,47248,0,54.07694842,546394.0179,3765.339286,2659.053571,True,472,48,61,49
7516.0,0.30305758118629456,-0.025573428720235825,0.2119598537683487,-0.014160673134028912,-0.11139179766178131,-0.1642255336046219,53033,0,55.02329173,504774.885,3035.6025,3454.025,True,530,33,53,50
50348.0,-0.5818732976913452,-1.3040450811386108,1.1207270622253418,1.25362229347229,0.950208842754364,0.9462118744850159,44830,0,62.331825,353120.0,5996.666667,9667.0,True,448,30,77,75
51864.0,-0.18249095976352692,-0.22928908467292786,-0.2373429536819458,-0.45111122727394104,-0.6130572557449341,-0.9523005485534668,46514,0,52.03996807,476838.8214,2400.714286,1663.821429,True,465,14,66,42
54851.0,0.3154221475124359,-0.2974775433540344,0.8892874717712402,0.31181493401527405,0.8670839071273804,-0.2694514989852905,49833,0,52.65154042,467837.6628,3616.325581,3133.069767,True,498,33,69,43
497.0,0.1368684619665146,0.07572745531797409,-0.06069542467594147,0.6295563578605652,0.004784449934959412,1.681292176246643,44220,0,56.50171925,519269.9681,4289.132353,19105.94118,True,442,20,69,51
55090.0,-0.10693520307540894,-0.13422788679599762,-0.08022567629814148,-0.41477200388908386,-0.24362397193908691,-0.5678383111953735,50099,0,50.9925674,489677.0227,2448.022727,2376.090909,True,500,99,56,55
